Page Title,Page Sub Title,Previous Page URL,Filter By Topics,Filter by Date,-,-,-
Individual Pads,,/,true,false,-,-,-
Language,Month,Date,Year,Topics (Separate with dash),Title in English,Title in Original Language,File URL
Gujarati,,,,gb,"Have To Mokshe Javu Chhe, Bijo Koi","હવે તો મોક્ષે જાવું છે, બીજો કોઈ",http://s768147321.onlinehome.us/DadaReact/PD/page_0004.pdf
Gujarati,,,,,"Haste Mukhe Zer Piye, Nilkanthi Khandan","હસતે મુખે ઝેર પીએ, નીલકંઠી ખાનદાન",http://s768147321.onlinehome.us/DadaReact/PD/page_0005.pdf
Gujarati,,,,easy to sing,Jihan Anth Rognu Mul Ukhadiyu,જીહાં અનંત રોગનું મૂળ ઊખડીયું,http://s768147321.onlinehome.us/DadaReact/PD/page_0006.pdf
Gujarati,,,,,Aa Dada Toh Fakt Aakhothi Pi Javani,આ દાદા તો ફક્ત આંખોથી પી જાવાની,http://s768147321.onlinehome.us/DadaReact/PD/page_0007.pdf
Gujarati,,,,easy to sing,Dada Bhagwan Aap Amara Antim Taranahar,દાદા ભગવાન આપ અમારા અંતિમ તારણહાર,http://s768147321.onlinehome.us/DadaReact/PD/page_0009.pdf
Gujarati,,,,easy to sing,Satasang Vina Khutata Nathi,સત્સંગ વિના ખૂટતા નથી,http://s768147321.onlinehome.us/DadaReact/PD/page_0011.pdf
Gujarati,,,,easy to sing,"Nathi Kwahish Pujvani, Nathi Hya Sthapna","નથી ખ્વાહીશ પૂજાવાની, નથી હ્યાં સ્થાપના",http://s768147321.onlinehome.us/DadaReact/PD/page_0012.pdf
Gujarati,,,,easy to sing,Upkar Karunasagarno,ઉપકાર કરૂણાસાગરનો,http://s768147321.onlinehome.us/DadaReact/PD/page_0013.pdf
Gujarati,,,,easy to sing,Amone Moksh Malto Toh Chhata Rokai Gaya,અમોને મોક્ષ મળતો તો છતાં રોકાઈ ગ્યા,http://s768147321.onlinehome.us/DadaReact/PD/page_0014.pdf
Gujarati,,,,gb,"Adharma Thay Jo Sanjog-vashat, Dharma Pann","અધર્મ થાય જો સંજોગવશાત, ધર્મ પણ",http://s768147321.onlinehome.us/DadaReact/PD/page_0015.pdf
Gujarati,,,,diwali-easy to sing,Dada Bhagwanna Pagala Thaya Tya,દાદા ભગવાનનાં પગલાં થયાં ત્યાં,http://s768147321.onlinehome.us/DadaReact/PD/page_0017.pdf
Gujarati,,,,,Chhelli iIchhha …..Ek J Ichchha,છેલ્લી ઈચ્છા ..... એક જ ઈચ્છા,http://s768147321.onlinehome.us/DadaReact/PD/page_0018.pdf
Gujarati,,,,easy to sing,Have Ekaj Chhe Echha,"હવે એક જ છે ઈચ્છા, જગત કલ્યાણ",http://s768147321.onlinehome.us/DadaReact/PD/page_0018.pdf
Gujarati,,,,easy to sing,Jeni Re Santo Koti Janmoni Punyey Jage Re,જેની રે સંતો કોટિ જન્મોની પુન્યૈ જાગે રે,http://s768147321.onlinehome.us/DadaReact/PD/page_0023.pdf
Gujarati,,,,easy to sing,Manushyano Deh Maliyo Chhe,મનુષ્યનો દેહ મળિયો છે,http://s768147321.onlinehome.us/DadaReact/PD/page_0025.pdf
Gujarati,,,,easy to sing,"Tare Chhutvu Hoy Samashan Thi, To","તારે છુટવું હોય સમશાનથી, તો",http://s768147321.onlinehome.us/DadaReact/PD/page_0027.pdf
Gujarati,,,,easy to sing,"Bhulo Potani Jonara, Jagatma Thai","ભૂલો પોતાની જોનારા, જગતમાં થઈ",http://s768147321.onlinehome.us/DadaReact/PD/page_0029.pdf
Gujarati,,,,easy to sing,"Aapt Swajan Toh Tene Re Kahiye, Jena Par","આપ્ત સ્વજન તો તેને રે કહીયે, જેનાં પર મૂકી",http://s768147321.onlinehome.us/DadaReact/PD/page_0030.pdf
Gujarati,,,,,"Kanudo Bansi Chhede Re, Sune Chhe Aakhu Ye","કાનુડો બંસી છેડે રે, સૂણે છે આખું યે",http://s768147321.onlinehome.us/DadaReact/PD/page_0031.pdf
Gujarati,,,,easy to sing,Kashay - Bhave Sthul Vanithi,કષાય - ભાવે સ્થૂળ વાણીથી,http://s768147321.onlinehome.us/DadaReact/PD/page_0032.pdf
Gujarati,,,,,Tarchhodthi Aa Duniyama Bandhay Chhe,તરછોડથી આ દુનિયામાં બંધાય છે,http://s768147321.onlinehome.us/DadaReact/PD/page_0033.pdf
Gujarati,,,,gb,Am Pathar Dilna LodhaNe,અમ પથ્થર દીલનાં લોઢાંને,http://s768147321.onlinehome.us/DadaReact/PD/page_0034.pdf
Gujarati,,,,easy to sing,"Koina Ye Dosho Jovathi, Potane Chhe Nuksha Ni","કોઈના યે દોષો જોવાથી, પોતાને છે નૂકશા ની",http://s768147321.onlinehome.us/DadaReact/PD/page_0035.pdf
Gujarati,,,,,Potapanu Raykhyu Tya Lagan,પોતાપણું રાયખું ત્યાં લગણ,http://s768147321.onlinehome.us/DadaReact/PD/page_0037.pdf
Gujarati,,,,easy to sing,"Je Garama Saro Chhe Vyavhar, Te Jupadu","જે ઘરમાં સારો છે વ્યવહાર, તે ઝુંપડું",http://s768147321.onlinehome.us/DadaReact/PD/page_0038.pdf
Gujarati,,,,easy to sing,Dadashri Bhagwan Kahe,દાદાશ્રી ભગવાન કહે,http://s768147321.onlinehome.us/DadaReact/PD/page_0041.pdf
Gujarati,,,,easy to sing-gb,Bhakti Karta Kadiye Hun Thaku Nahi,ભક્તિ કરતાં કદીયે હું થાકું નહિં,http://s768147321.onlinehome.us/DadaReact/PD/page_0050.pdf
Gujarati,,,,easy to sing-gb,Bhakti Karata Kadiye - ADDITION,ભક્તિ કરતાં કદીયે હું થાકું નહિં,http://s768147321.onlinehome.us/DadaReact/PD/page_0050.pdf
Gujarati,,,,easy to sing,Zer To Tamare Piva J Padse,ઝેર તો તમારે પીવાં જ પડશે,http://s768147321.onlinehome.us/DadaReact/PD/page_0052.pdf
Gujarati,,,,,Mane Dada Bhagwan Malya Pachhi,મને દાદા ભગવાન મળ્યા પછી,http://s768147321.onlinehome.us/DadaReact/PD/page_0059.pdf
Gujarati,,,,,Brahmacharya - Gadya,બ્રહ્મચર્ય - ગદ્ય,http://s768147321.onlinehome.us/DadaReact/PD/page_0062.pdf
Gujarati,,,,,"Nirkhi Koi Sundar Stri, Lesh N Netre","નીરખી કોઈ સુંદર સ્ત્રી, લેશ ન નેત્રે",http://s768147321.onlinehome.us/DadaReact/PD/page_0063.pdf
Gujarati,,,,,"Ek Brahmcharyama J, Panche Vrato Aavi Jay","એક બ્રહ્મચર્યમાં જ, પાંચે વ્રતો આવી જાય",http://s768147321.onlinehome.us/DadaReact/PD/page_0066.pdf
Gujarati,,,,,Moh Sange Vikari Be Kodiyanu Tofan,મોહ સંગે વીકારી બે કોડિયાંનું તોફાન,http://s768147321.onlinehome.us/DadaReact/PD/page_0068.pdf
Gujarati,,,,,Simantai Papni Pukare Fadi Chhapra,શ્રીમંતાઈ પાપની પુકારે ફાડી છાપરાં,http://s768147321.onlinehome.us/DadaReact/PD/page_0070.pdf
Gujarati,,,,,Vishva Aje Sadi Gayu Chhe ,વિશ્વ આજે સડી ગયું છે,http://s768147321.onlinehome.us/DadaReact/PD/page_0073.pdf
Gujarati,,,,,Anya Lingi-Ne Nirakhi,અન્ય લિંગીને નિરખી,http://s768147321.onlinehome.us/DadaReact/PD/page_0075.pdf
Gujarati,,,,,Mithu Mithu Bole Chhe Kapatanu Karakhanu,મીઠું મીઠું બોલે છે કપટનું કારખાનું,http://s768147321.onlinehome.us/DadaReact/PD/page_0076.pdf
Gujarati,,,,,Vishama Sukhi Thavano,વિશ્વમાં સુખી થવાનો,http://s768147321.onlinehome.us/DadaReact/PD/page_0077.pdf
Gujarati,,,,,Sukh:Dukh Lakshminu Aavan-Javan,સુખઃદુખ લક્ષ્મીનું આવન-જાવન,http://s768147321.onlinehome.us/DadaReact/PD/page_0078.pdf
Gujarati,,,,SS,"He Simandhar Swami, Tum Sharanoma","હે સીમંધર સ્વામી, તુમ શરણોમાં",http://s768147321.onlinehome.us/DadaReact/PD/page_0083.pdf
Gujarati,,,,SS,Dehdhari Arihant Simandhar Swami,દેહધારી અરિહંત સીમંધર સ્વામી,http://s768147321.onlinehome.us/DadaReact/PD/page_0086.pdf
Gujarati,,,,,Dehdhari Arihant Simandhar Swami,દેહધારી અરિહંત સીમંધર સ્વામી,http://s768147321.onlinehome.us/DadaReact/PD/page_0086.pdf
Gujarati,,,,SS,Vandan Ho Jinaraj Amara,વંદન હો જીનરાજ અમારા,http://s768147321.onlinehome.us/DadaReact/PD/page_0088.pdf
Gujarati,,,,SS,Vandan Ho Jinaraj Amara,વંદન હો જિનરાજ અમારા,http://s768147321.onlinehome.us/DadaReact/PD/page_0088.pdf
Gujarati,,,,SS,"Pratyaksh Dada Bhagwanni Sakshiye, Simandhar Swamine","પ્રત્યક્ષ દાદા ભગવાનની સાક્ષીએ, સીમંધર સ્વામીને",http://s768147321.onlinehome.us/DadaReact/PD/page_0089.pdf
Gujarati,,,,SS,"Swami Simandhar Bhagwan, Tumro Sat Punyankar","સ્વામી સીમંધર ભગવાન, તુમરો સત્ પુણ્યંકર",http://s768147321.onlinehome.us/DadaReact/PD/page_0090.pdf
Gujarati,,,,SS,"Swami Simandhar Arihant, Hardam Upkari Chetan","સ્વામી સીમંધર અરિહંત, હરદમ ઉપકારી",http://s768147321.onlinehome.us/DadaReact/PD/page_0092.pdf
Gujarati,,,,SS,"Swami Simandhar Arihant, Hardam Upkari Chetan","સ્વામી સીમંધર અરિહંત, હરદમ ઉપકારી",http://s768147321.onlinehome.us/DadaReact/PD/page_0092.pdf
Gujarati,,,,SS,Jay Jay Jay Simandhar Swami,"જય, જય, જય સીમંધર સ્વામી",http://s768147321.onlinehome.us/DadaReact/PD/page_0093.pdf
